sku,websites,store,has_options,brand,manufacturer,type,bundle_attributes,bundle_attribute_products,tax_class_id,attribute_set,config_attributes,news_from_date,category_ids,gallery,name,short_name,image,small_image,thumbnail,options_container,status,enable_googlecheckout,visibility,weight,length,width,height,shipping_length,shipping_width,shipping_height,capacity,warranty,short_description,description,description_specs,description_related,description_addon_title,qty,meta_title,meta_description,limited_stock_qty,is_in_stock,assort,upsell,crosssell,color,Size:drop_down:1,size,Wholesale,Normal,price,special_price,special_from_date,special_to_date,associated,Normal_Quantity_1,Normal_Price_1,Normal_Quantity_2,Normal_Price_2,Normal_Quantity_3,Normal_Price_3,Normal_Quantity_4,Normal_Price_4,Normal_Quantity_5,Normal_Price_5,mptp_cat_id,mptp_update_status,power_consumption,product_weight,compatible_products,MAP,child_attributes,child_attribute_options
PEC-MH,base,default,,Phoenix,Phoenix,grouped,,,None,Default,,,"167,168,71,72,66",,14000K+ Metal Halide - Double-Ended,,/phoenix/phoenix_metalhalide_250W_14000K_de.jpg,/phoenix/phoenix_metalhalide_250W_14000K_de.jpg,/phoenix/phoenix_metalhalide_250W_14000K_de.jpg,Block after Info Column,Enabled,No,"Catalog, Search",,,,,,,,,6-Month Manfacturer's Limited Warranty,14000K+ double-ended metal halide bulb with a look similar to a traditional 20K. Color is white with noticeable blue and actinic undertones.,"Double-ended 14000K metal halide bulb. HQI ballast required. Color: white with noticeable blue and actinic undertones; actinic supplementation not required, but can be used to provide additional coloration. Spectural signature and output virtually identical to Aqua Connect 14000K. Bulb must be used with UV-proof lens to filter out harmful UV rays.",,,,,14000K+ Metal Halide - Double-Ended by Pheonix,Phoenix double-ended 14000K metal halide bulb. Color: white with blue-actinic undertones similar to a traditional 20K. ,0,,,,,,,,,,,,,,"PEC0001,PEC0007",,,,,,,,,,,PHEONIXBULBS,,,,,,,
PEC0001,base,default,,Phoenix,Phoenix,simple,,,None,Default,,,,,150W 14000K+ Metal Halide - Double-Ended,150W,/phoenix/phoenix_metalhalide_150W_14000K_de.jpg,/phoenix/phoenix_metalhalide_150W_14000K_de.jpg,/phoenix/phoenix_metalhalide_150W_14000K_de.jpg,Block after Info Column,Enabled,No,,1,,,,,,,,6-Month Manfacturer's Limited Warranty,Unavailable,"Double-ended 150 watt 14000K metal halide bulb. HQI ballast required. Color: white with noticeable blue and actinic undertoness; actinic supplementation not required, but can be used to provide additional coloration. Spectural signature and output virtually identical to Aqua Connect 14000K. Bulb must be used with UV-proof lens to filter out harmful UV rays. Recommended Ballasts: M81 - Magnetic HQI or &quot;HQI&quot; electronic.",,,,30,150W 14000K+ Metal Halide - Double-Ended by Pheonix,Phoenix double-ended 150 watt 14000K metal halide bulb. Color: white with blue-actinic undertones similar to a traditional 20K. ,6,1,,,,,,,33.95,44.95,44.95,,,,,12,31.95,,,,,,,,,PHEONIXBULBS,,,0.1,,44.95,,
PEC0007,base,default,,Phoenix,Phoenix,simple,,,None,Default,,,,,250W 14000K+ Metal Halide - Double-Ended,250W,/phoenix/phoenix_metalhalide_250W_14000K_de.jpg,/phoenix/phoenix_metalhalide_250W_14000K_de.jpg,/phoenix/phoenix_metalhalide_250W_14000K_de.jpg,Block after Info Column,Enabled,No,,1,,,,,,,,6-Month Manfacturer's Limited Warranty,Unavailable,"Double ended 250 watt 14000K metal halide bulb. HQI ballast required. Color: white with noticeable blue and actinic undertones; actinic supplementation not required, but can be used to provide additional coloration. Spectural signature and output virtually identical to Aqua Connect 14000K. Bulb must be used with UV-proof lens to filter out harmful UV rays. Recommended Ballasts: M80 - Magnetic HQI or &quot;HQI&quot; electronic.",,,,30,250W 14000K+ Metal Halide - Double-Ended by Pheonix,Phoenix double-ended 250 watt 14000K metal halide bulb. Color: white with blue-actinic undertones similar to a traditional 20K. ,6,1,,,,,,,41.95,59.95,59.95,,,,,12,38.95,,,,,,,,,PHEONIXBULBS,,,0.2,,59.95,,
ETM-WSA,base,default,,EcoTech Marine,EcoTech Marine,grouped,,,None,Default,,,"138,95","/ecotech/etm_vortech_wetside_assembly_mp60.jpg,/ecotech/etm_vortech_wetside_assembly_mp40.jpg,/ecotech/etm_vortech_wetside_assembly_mp10.jpg",Wet-Side Assembly for VorTech,,/ecotech/etm_vortech_wetside_assembly_mp60.jpg,/ecotech/etm_vortech_wetside_assembly_mp60.jpg,/ecotech/etm_vortech_wetside_assembly_mp60.jpg,Block after Info Column,Enabled,No,"Catalog, Search",,,,,,,,,1 Year Manufacturer's Limited Warranty,Replacement wet-side assemblies for EcoTech Marine VorTech pumps.,Wet-Side assembly for EcoTech Marine VorTech pump,,,,,Wet-Side Assembly for VorTech Pump by EcoTech Marine,Wet-Side Assembly for EcoTech Marine VorTech,0,1,,,,,,,,,,,,,"ETM0200,ETM0201,ETM0203",,,,,,,,,,,,,,,,,,
ETM0200,base,default,,EcoTech Marine,EcoTech Marine,simple,,,None,Default,,,,,Wet-Side Assembly for VorTech MP60,MP60,/ecotech/etm_vortech_wetside_assembly_mp60.jpg,/ecotech/etm_vortech_wetside_assembly_mp60.jpg,/ecotech/etm_vortech_wetside_assembly_mp60.jpg,Block after Info Column,Enabled,No,,1.5,4,4,3,,,,,1 Year Manufacturer's Limited Warranty,Unavailable,Wet-Side Assembly for EcoTech Marine VorTech MP60 pump.,,,,3,Wet-Side Assembly for VorTech MP60 Pump by EcoTech Marine,Wet-Side Assembly for EcoTech Marine VorTech MP60,2,1,,,,,,,141.95,169.95,169.95,,,,,,,,,,,,,,,,,,1.2,,169.95,,
ETM0201,base,default,,EcoTech Marine,EcoTech Marine,simple,,,None,Default,,,,,Wet-Side Assembly for VorTech MP20 & MP40,MP20 / MP40,/ecotech/etm_vortech_wetside_assembly_mp40.jpg,/ecotech/etm_vortech_wetside_assembly_mp40.jpg,/ecotech/etm_vortech_wetside_assembly_mp40.jpg,Block after Info Column,Enabled,No,,0.5,3,3,2.3,,,,,1 Year Manufacturer's Limited Warranty,Unavailable,Wet-Side Assembly for EcoTech Marine VorTech MP20 and MP40 pumps.,,,,3,Wet-Side Assembly for VorTech MP20 & MP40 Pumps by EcoTech Marine,Wet-Side Assembly for EcoTech Marine VorTech MP20 & MP40,2,1,,,,,,,76.95,92.95,92.95,,,,,,,,,,,,,,,,,,0.5,,92.95,,
ETM0203,base,default,,EcoTech Marine,EcoTech Marine,simple,,,None,Default,,,,,Wet-Side Assembly for VorTech MP10,MP10,/ecotech/etm_vortech_wetside_assembly_mp10.jpg,/ecotech/etm_vortech_wetside_assembly_mp10.jpg,/ecotech/etm_vortech_wetside_assembly_mp10.jpg,Block after Info Column,Enabled,No,,0.5,2.5,2.5,1.5,,,,,1 Year Manufacturer's Limited Warranty,Unavailable,Wet-Side Assembly for EcoTech Marine VorTech MP10 pump.,,,,3,Wet-Side Assembly for VorTech MP10 Pump by EcoTech Marine,Wet-Side Assembly for EcoTech Marine VorTech MP10,2,1,,,,,,,47.95,61.95,61.95,,,,,,,,,,,,,,,,,,0.3,,61.95,,
LET-MIRO4REFLECTOR,base,default,,LET Lighting,LET Lighting,grouped,,,None,Default,,,"145,150,152,56,58",,Miro-4 T5 Reflector (no clips),,/let/let_miro4_t5_relector.jpg,/let/let_miro4_t5_relector.jpg,/let/let_miro4_t5_relector.jpg,Block after Info Column,Enabled,No,"Catalog, Search",,,,,,,,,1 Year Manufacturer's Limited Warranty,Individual parabolic reflector made from 96% German-made reflective aluminum for one 80W T5 bulb. Increases bulb output by over 300%,Individual parabolic reflector made from 96% German-made reflective aluminum for one 24W T5 bulb. Increases bulb output by over 300% compared to bulb alone. The mirror like finish resists potting and staining. Sold complete with epoxy coated bulb clips and screws. Some assembly required.,,,,,LET Lighting Miro-4 T5 Reflector,Individual parabolic reflector made from 96% German-made reflective aluminum for one T5 bulb. Increases bulb output by over 300% compared to bulb alone.,0,1,,,,,,,,,,,,,"LET0401,LET0403,LET0405,LET0407",,,,,,,,,,,,,,,LET Lighting Miro-4 Retrofit Kits,,,
LET0401,base,default,,LET Lighting,LET Lighting,simple,,,None,Default,,,,,Miro-4 T5 Reflector for 1x24W Bulb (no clips),1x24W Bulb ,/let/let_miro4_t5_relector.jpg,/let/let_miro4_t5_relector.jpg,/let/let_miro4_t5_relector.jpg,Block after Info Column,Enabled,No,,0.5,19,2.5,0.7,,,,,1 Year Manufacturer's Limited Warranty,Unavailable,Individual parabolic reflector made from 96% German-made reflective aluminum for one 24W T5 bulb. Increases bulb output by over 300% compared to bulb alone. The mirror like finish resists potting and staining. Sold complete with epoxy coated bulb clips and screws. Some assembly required.,,,,123,Miro-4 T5 Reflector for 1x24W Bulb by LET Lighting,Individual parabolic reflector made from 96% German-made reflective aluminum for one T5 bulb. Increases bulb output by over 300% compared to bulb alone.,5,1,,,,,,,10.45,18.95,18.95,,,,,6,9.45,,,,,,,,,LETMIRO4REFLECTOR,,,0.2,LET Lighting Miro-4 Retrofit Kits,18.95,,
LET0403,base,default,,LET Lighting,LET Lighting,simple,,,None,Default,,,,,Miro-4 T5 Reflector for 1x39W Bulb (no clips),1x39W Bulb ,/let/let_miro4_t5_relector.jpg,/let/let_miro4_t5_relector.jpg,/let/let_miro4_t5_relector.jpg,Block after Info Column,Enabled,No,,0.5,31,2.5,0.7,,,,,1 Year Manufacturer's Limited Warranty,Unavailable,Individual parabolic reflector made from 96% German-made reflective aluminum for one 39W T5 bulb. Increases bulb output by over 300% compared to bulb alone. The mirror like finish resists potting and staining. Sold complete with epoxy coated bulb clips and screws. Some assembly required.,,,,69,Miro-4 T5 Reflector for 1x39W Bulb by LET Lighting,Individual parabolic reflector made from 96% German-made reflective aluminum for one T5 bulb. Increases bulb output by over 300% compared to bulb alone.,10,1,,,,,,,11.45,19.95,19.95,,,,,6,10.45,,,,,,,,,LETMIRO4REFLECTOR,,,0.2,LET Lighting Miro-4 Retrofit Kits,19.95,,
