"sku","websites","store","has_options","brand","manufacturer","type","bundle_attributes","bundle_attribute_products","tax_class_id","attribute_set","config_attributes","news_from_date","category_ids","gallery","name","short_name","image","small_image","thumbnail","options_container","status","enable_googlecheckout","visibility","weight","length","width","height","shipping_length","shipping_width","shipping_height","capacity","warranty","short_description","description","description_specs","description_related","description_addon_title","qty","meta_title","meta_description","limited_stock_qty","is_in_stock","assort","upsell","crosssell","color","Size:drop_down:1","size","Wholesale","Normal","price","special_price","special_from_date","special_to_date","associated","Normal_Quantity_1","Normal_Price_1","Normal_Quantity_2","Normal_Price_2","Normal_Quantity_3","Normal_Price_3","Normal_Quantity_4","Normal_Price_4","Normal_Quantity_5","Normal_Price_5","mptp_cat_id","mptp_update_status",,,"child_attributes","child_attribute_options"
"ATISunPower","base","default",,"ATI","ATI","grouped",,,"Taxable Goods","Default",,,"115,124,125,43,48,49","/ATI/SunPower_6-Bulb_Kit.jpg,ATI/SunPower_6-Bulb_Underside.jpg","ATI SunPower High-Output T5 Fixture",,"/ATI/SunPower_6-Bulb_Kit.jpg","/ATI/SunPower_6-Bulb_Kit.jpg","ATI/SunPower_6-Bulb_Kit","Block after Info Column","Enabled","Yes","Catalog, Search",,,,,,,,,"1 Year Manufacturer's","A favorite among hobbyists who want top-of-the-line performance at a lower cost. ","<p>A favorite among hobbyists who want top-of-the-line performance at a lower cost.  Like the ATI Powermodule, the SunPower features Miro-Silver reflectors and an active cooling system for optimal performance and long lamp life. The bent aluminum housing is both stylish and economical. We'd be proud to have this fixture hanging over any tank. And we're confident you will be too.</p><h1>Unbeatable Performance</h1>
<p>Superior design and high-end components produce 50% more light than most equally-sized T5 fixtures. An active cooling system allows bulbs to run at a more optimal temperature, improving both bulb output and bulb life.</p>
<h1>Contemporary Design</h1>
<p>The slim, silver colored body is lightweight, durable, rust-proof and just 2.1 inches high. All components, including the T5 ballasts, are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, two power cords, and an AC/DC adapter to power the fans.</p>
<h1>Independent Lamp Control</h1>
<p>Wired with two bulbs on one power cord and remaining bulbs on the other, allowing for independent control and dawn/dusk simulation.</p>
<h1>Energy Efficient</h1>
<p>Produces up to 50% more light than most other equally-sized T5 fixtures, without using more energy.</p>
<h1>Quiet, Cool Operation</h1>
<p>Runs cool and produces virtually no noise.</p>",,,,,,,0,1,,,,,,,,,,,,,"ATI3001,ATI3003,ATI3004,ATI3005,ATI3007,ATI3008,ATI3009,ATI3011,ATI3012,ATI3013,ATI3015,ATI3017",,,,,,,,,,,"ATIFIXTURES",0,,,"[select|Length/Wattage|yes][select|# of Bulbs|yes]","[24""/24W,36""/39W,48""/54W,60""/80W][4,6,8]"
"ATI3001","base","default",,"ATI","ATI","simple",,,"Taxable Goods","Default",,,,"/ATI/SunPower_4-Bulb_Kit.jpg,ATI/SunPower_4-Bulb_Underside.jpg","ATI 24"" 4x24W SunPower High-Output T5 Fixture","24"" 4x24W","/ATI/SunPower_6-Bulb_Kit.jpg","/ATI/SunPower_6-Bulb_Kit.jpg","ATI/SunPower_4-Bulb_Kit","Block after Info Column","Enabled","Yes","Catalog, Search",14,23.1,9.4,2.1,28,18,8,"20-50 gallons","1 Year Manufacturer's","A favorite among hobbyists who want top-of-the-line performance at a lower cost. ","ATI 24&quot; 4x24W SunPower T5 High-Output Fixture complete with individual parabolic-style reflectors for each bulb made from silver-coated 98% reflective German-made aluminum, active cooling system w/ 1 fan, built-in electronic ballasts, acrylic shield, two 10 ft power-cords and a sleek, adjustable &quot;Grip-Lock&quot; style hanging kit. (Bulbs sold separately.)<br /><br />Common Sizing Guideline: soft coral tanks up to 50 gallons, mixed reef tanks up to 40 gallons and SPS dominated tanks up to 30 gallons. Recommended Tank Depth: up to 30&quot; with carefully planned placement of corals. Power Consumption: approximately 96 Watts. Warranty: 1-Year Manufacturer's Limited Warranty.<br /><br /><strong>1. Unbeatable Performance:</strong> Superior design and high-end components produce 50% more light than most other equally sized T5 fixtures. Active cooling system allows bulbs to run at a more optimal temperature improving both bulb output and bulb life.<br /><strong>2. Energy Efficient:</strong> Produces up to 50% more light than most other equally sized T5 fixtures without using more energy.<br /><strong>3. Contemporary Design:</strong> Slim, silver colored body is lightweight, durable, rust-proof and just 2.1&quot; high. All components including the T5 ballasts are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, 2 power-cords and an AC-DC Adapter to power the fans.<br /><strong>4. Independent Lamp Control:</strong> Fixture is wired with 2 bulbs on one power-cord and the other bulbs on the other allowing for independent control and dawn-dusk simulation.<br /><strong>5. Quiet, Cool Operation:</strong> Runs cool and produces virtually no noise.",,,,2,,,2,1,,,,,,,264.95,354.95,354.95,,,,,3,258.95,,,,,,,,,"ATIFIXTURES",0,,,"N/A to Child","N/A to Child"
"ATI3003","base","default",,"ATI","ATI","simple",,,"Taxable Goods","Default",,,,"/ATI/SunPower_6-Bulb_Kit.jpg,ATI/SunPower_6-Bulb_Underside.jpg","ATI 24"" 6x24W SunPower High-Output T5 Fixture","24"" 6x24W","/ATI/SunPower_6-Bulb_Kit.jpg","/ATI/SunPower_6-Bulb_Kit.jpg","ATI/SunPower_6-Bulb_Kit","Block after Info Column","Enabled","Yes","Catalog, Search",14,23.1,13.4,2.1,28,18,8,"30-70 gallons","1 Year Manufacturer's","A favorite among hobbyists who want top-of-the-line performance at a lower cost. ","ATI 24&quot; 6x24W SunPower T5 High-Output Fixture complete with individual parabolic-style reflectors for each bulb made from silver-coated 98% reflective German-made aluminum, active cooling system w/ 2 fans, built-in electronic ballasts, acrylic shield, two 10 ft power-cords and a sleek, adjustable &quot;Grip-Lock&quot; style hanging kit. (Bulbs sold separately.)<br /><br />Common Sizing Guideline: soft coral tanks up to 70 gallons, mixed reef tanks up to 60 gallons and SPS dominated tanks up to 50 gallons. Recommended Tank Depth: up to 30&quot; with carefully planned placement of corals. Power Consumption: approximately 144 Watts. Warranty: 1-Year Manufacturer's Limited Warranty.<br /><br /><strong>1. Unbeatable Performance:</strong> Superior design and high-end components produce 50% more light than most other equally sized T5 fixtures. Active cooling system allows bulbs to run at a more optimal temperature improving both bulb output and bulb life.<br /><strong>2. Energy Efficient:</strong> Produces up to 50% more light than most other equally sized T5 fixtures without using more energy.<br /><strong>3. Contemporary Design:</strong> Slim, silver colored body is lightweight, durable, rust-proof and just 2.1&quot; high. All components including the T5 ballasts are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, 2 power-cords and an AC-DC Adapter to power the fans.<br /><strong>4. Independent Lamp Control:</strong> Fixture is wired with 2 bulbs on one power-cord and the other bulbs on the other allowing for independent control and dawn-dusk simulation.<br /><strong>5. Quiet, Cool Operation:</strong> Runs cool and produces virtually no noise.",,,,3,,,2,1,,,,,,,308.95,409.95,409.95,,,,,3,301.95,,,,,,,,,"ATIFIXTURES",0,,,"N/A to Child","N/A to Child"
"ATI3004","base","default",,"ATI","ATI","simple",,,"Taxable Goods","Default",,,,"/ATI/SunPower_6-Bulb_Kit.jpg,ATI/SunPower_6-Bulb_Underside.jpg","ATI 24"" 8x24W SunPower High-Output T5 Fixture","24"" 8x24W","/ATI/SunPower_6-Bulb_Kit.jpg","/ATI/SunPower_6-Bulb_Kit.jpg","ATI/SunPower_6-Bulb_Kit","Block after Info Column","Enabled","Yes","Catalog, Search",17,23.1,17.5,2.1,28,22,8,"40-100 gallons","1 Year Manufacturer's","A favorite among hobbyists who want top-of-the-line performance at a lower cost. ","ATI 24&quot; 8x24W SunPower T5 High-Output Fixture complete with individual parabolic-style reflectors for each bulb made from silver-coated 98% reflective German-made aluminum, active cooling system w/ 2 fans, built-in electronic ballasts, acrylic shield, two 10 ft power-cords and a sleek, adjustable &quot;Grip-Lock&quot; style hanging kit. (Bulbs sold separately.)<br /><br />Common Sizing Guideline: soft coral tanks up to 95 gallons, mixed reef tanks up to 75 gallons and SPS dominated tanks up to 60 gallons. Recommended Tank Depth: up to 30&quot; with carefully planned placement of corals. Power Consumption: approximately 192 Watts. Warranty: 1-Year Manufacturer's Limited Warranty.<br /><br /><strong>1. Unbeatable Performance:</strong> Superior design and high-end components produce 50% more light than most other equally sized T5 fixtures. Active cooling system allows bulbs to run at a more optimal temperature improving both bulb output and bulb life.<br /><strong>2. Energy Efficient:</strong> Produces up to 50% more light than most other equally sized T5 fixtures without using more energy.<br /><strong>3. Contemporary Design:</strong> Slim, silver colored body is lightweight, durable, rust-proof and just 2.1&quot; high. All components including the T5 ballasts are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, 2 power-cords and an AC-DC Adapter to power the fans.<br /><strong>4. Independent Lamp Control:</strong> Fixture is wired with 2 bulbs on one power-cord and the other bulbs on the other allowing for independent control and dawn-dusk simulation.<br /><strong>5. Quiet, Cool Operation:</strong> Runs cool and produces virtually no noise.",,,,4,,,2,1,,,,,,,372.95,499.95,499.95,,,,,3,363.95,,,,,,,,,"ATIFIXTURES",0,,,"N/A to Child","N/A to Child"
"ATI3005","base","default",,"ATI","ATI","simple",,,"Taxable Goods","Default",,,,"/ATI/SunPower_4-Bulb_Kit.jpg,ATI/SunPower_4-Bulb_Underside.jpg","ATI 36"" 4x39W SunPower High-Output T5 Fixture","36"" 4x39W","/ATI/SunPower_6-Bulb_Kit.jpg","/ATI/SunPower_6-Bulb_Kit.jpg","ATI/SunPower_4-Bulb_Kit","Block after Info Column","Enabled","Yes","Catalog, Search",15,35,9.4,2.1,40,18,8,"30-80 gallons","1 Year Manufacturer's","A favorite among hobbyists who want top-of-the-line performance at a lower cost. ","ATI 36&quot; 4x39W SunPower T5 High-Output Fixture complete with individual parabolic-style reflectors for each bulb made from silver-coated 98% reflective German-made aluminum, active cooling system w/ 1 fan, built-in electronic ballasts, acrylic shield, two 10 ft power-cords and a sleek, adjustable &quot;Grip-Lock&quot; style hanging kit. (Bulbs sold separately.)<br /><br />Common Sizing Guideline: soft coral tanks up to 80 gallons, mixed reef tanks up to 60 gallons and SPS dominated tanks up to 50 gallons. Recommended Tank Depth: up to 30&quot; with carefully planned placement of corals. Power Consumption: approximately 156 Watts. Warranty: 1-Year Manufacturer's Limited Warranty.<br /><br /><strong>1. Unbeatable Performance:</strong> Superior design and high-end components produce 50% more light than most other equally sized T5 fixtures. Active cooling system allows bulbs to run at a more optimal temperature improving both bulb output and bulb life.<br /><strong>2. Energy Efficient:</strong> Produces up to 50% more light than most other equally sized T5 fixtures without using more energy.<br /><strong>3. Contemporary Design:</strong> Slim, silver colored body is lightweight, durable, rust-proof and just 2.1&quot; high. All components including the T5 ballasts are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, 2 power-cords and an AC-DC Adapter to power the fans.<br /><strong>4. Independent Lamp Control:</strong> Fixture is wired with 2 bulbs on one power-cord and the other bulbs on the other allowing for independent control and dawn-dusk simulation.<br /><strong>5. Quiet, Cool Operation:</strong> Runs cool and produces virtually no noise.",,,,2,,,2,1,,,,,,,294.95,394.95,394.95,,,,,3,287.95,,,,,,,,,"ATIFIXTURES",0,,,"N/A to Child","N/A to Child"
"ATI3007","base","default",,"ATI","ATI","simple",,,"Taxable Goods","Default",,,,"/ATI/SunPower_6-Bulb_Kit.jpg,ATI/SunPower_6-Bulb_Underside.jpg","ATI 36"" 6x39W SunPower High-Output T5 Fixture","36"" 6x39W","/ATI/SunPower_6-Bulb_Kit.jpg","/ATI/SunPower_6-Bulb_Kit.jpg","ATI/SunPower_6-Bulb_Kit","Block after Info Column","Enabled","Yes","Catalog, Search",19,35,13.4,2.1,40,18,8,"50-120 gallons","1 Year Manufacturer's","A favorite among hobbyists who want top-of-the-line performance at a lower cost. ","ATI 36&quot; 6x39W SunPower T5 High-Output Fixture complete with individual parabolic-style reflectors for each bulb made from silver-coated 98% reflective German-made aluminum, active cooling system w/ 2 fans, built-in electronic ballasts, acrylic shield, two 10 ft power-cords and a sleek, adjustable &quot;Grip-Lock&quot; style hanging kit. (Bulbs sold separately.)<br /><br />Common Sizing Guideline: soft coral tanks up to 115 gallons, mixed reef tanks up to 95 gallons and SPS dominated tanks up to 80 gallons. Recommended Tank Depth: up to 30&quot; with carefully planned placement of corals. Power Consumption: approximately 234 Watts. Warranty: 1-Year Manufacturer's Limited Warranty.<br /><br /><strong>1. Unbeatable Performance:</strong> Superior design and high-end components produce 50% more light than most other equally sized T5 fixtures. Active cooling system allows bulbs to run at a more optimal temperature improving both bulb output and bulb life.<br /><strong>2. Energy Efficient:</strong> Produces up to 50% more light than most other equally sized T5 fixtures without using more energy.<br /><strong>3. Contemporary Design:</strong> Slim, silver colored body is lightweight, durable, rust-proof and just 2.1&quot; high. All components including the T5 ballasts are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, 2 power-cords and an AC-DC Adapter to power the fans.<br /><strong>4. Independent Lamp Control:</strong> Fixture is wired with 2 bulbs on one power-cord and the other bulbs on the other allowing for independent control and dawn-dusk simulation.<br /><strong>5. Quiet, Cool Operation:</strong> Runs cool and produces virtually no noise.",,,,3,,,2,1,,,,,,,353.95,469.95,469.95,,,,,3,345.95,,,,,,,,,"ATIFIXTURES",0,,,"N/A to Child","N/A to Child"
"ATI3008","base","default",,"ATI","ATI","simple",,,"Taxable Goods","Default",,,,"/ATI/SunPower_6-Bulb_Kit.jpg,ATI/SunPower_6-Bulb_Underside.jpg","ATI 36"" 8x39W SunPower High-Output T5 Fixture","36"" 8x39W","/ATI/SunPower_6-Bulb_Kit.jpg","/ATI/SunPower_6-Bulb_Kit.jpg","ATI/SunPower_6-Bulb_Kit","Block after Info Column","Enabled","Yes","Catalog, Search",23,35,17.5,2.1,40,22,8,"60-160 gallons","1 Year Manufacturer's","A favorite among hobbyists who want top-of-the-line performance at a lower cost. ","ATI 36&quot; 8x39W SunPower T5 High-Output Fixture complete with individual parabolic-style reflectors for each bulb made from silver-coated 98% reflective German-made aluminum, active cooling system w/ 2 fans, built-in electronic ballasts, acrylic shield, two 10 ft power-cords and a sleek, adjustable &quot;Grip-Lock&quot; style hanging kit. (Bulbs sold separately.)<br /><br />Common Sizing Guideline: soft coral tanks up to 160 gallons, mixed reef tanks up to 125 gallons and SPS dominated tanks up to 105 gallons. Recommended Tank Depth: up to 30&quot; with carefully planned placement of corals. Power Consumption: approximately 312 Watts. Warranty: 1-Year Manufacturer's Limited Warranty.<br /><br /><strong>1. Unbeatable Performance:</strong> Superior design and high-end components produce 50% more light than most other equally sized T5 fixtures. Active cooling system allows bulbs to run at a more optimal temperature improving both bulb output and bulb life.<br /><strong>2. Energy Efficient:</strong> Produces up to 50% more light than most other equally sized T5 fixtures without using more energy.<br /><strong>3. Contemporary Design:</strong> Slim, silver colored body is lightweight, durable, rust-proof and just 2.1&quot; high. All components including the T5 ballasts are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, 2 power-cords and an AC-DC Adapter to power the fans.<br /><strong>4. Independent Lamp Control:</strong> Fixture is wired with 2 bulbs on one power-cord and the other bulbs on the other allowing for independent control and dawn-dusk simulation.<br /><strong>5. Quiet, Cool Operation:</strong> Runs cool and produces virtually no noise.",,,,4,,,2,1,,,,,,,412.95,549.95,549.95,,,,,3,402.95,,,,,,,,,"ATIFIXTURES",0,,,"N/A to Child","N/A to Child"
"ATI3009","base","default",,"ATI","ATI","simple",,,"Taxable Goods","Default",,,,"/ATI/SunPower_4-Bulb_Kit.jpg,ATI/SunPower_4-Bulb_Underside.jpg","ATI 48"" 4x54W SunPower High-Output T5 Fixture","48"" 4x54W","/ATI/SunPower_6-Bulb_Kit.jpg","/ATI/SunPower_6-Bulb_Kit.jpg","ATI/SunPower_4-Bulb_Kit","Block after Info Column","Enabled","Yes","Catalog, Search",19,47,9.4,2.1,52,18,8,"40-110 gallons","1 Year Manufacturer's","A favorite among hobbyists who want top-of-the-line performance at a lower cost. ","ATI 48&quot; 4x54W SunPower T5 High-Output Fixture complete with individual parabolic-style reflectors for each bulb made from silver-coated 98% reflective German-made aluminum, active cooling system w/ 1 fan, built-in electronic ballasts, acrylic shield, two 10 ft power-cords and a sleek, adjustable &quot;Grip-Lock&quot; style hanging kit. (Bulbs sold separately.)<br /><br />Common Sizing Guideline: soft coral tanks up to 110 gallons, mixed reef tanks up to 85 gallons and SPS dominated tanks up to 70 gallons. Recommended Tank Depth: up to 30&quot; with carefully planned placement of corals. Power Consumption: approximately 216 Watts. Warranty: 1-Year Manufacturer's Limited Warranty.<br /><br /><strong>1. Unbeatable Performance:</strong> Superior design and high-end components produce 50% more light than most other equally sized T5 fixtures. Active cooling system allows bulbs to run at a more optimal temperature improving both bulb output and bulb life.<br /><strong>2. Energy Efficient:</strong> Produces up to 50% more light than most other equally sized T5 fixtures without using more energy.<br /><strong>3. Contemporary Design:</strong> Slim, silver colored body is lightweight, durable, rust-proof and just 2.1&quot; high. All components including the T5 ballasts are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, 2 power-cords and an AC-DC Adapter to power the fans.<br /><strong>4. Independent Lamp Control:</strong> Fixture is wired with 2 bulbs on one power-cord and the other bulbs on the other allowing for independent control and dawn-dusk simulation.<br /><strong>5. Quiet, Cool Operation:</strong> Runs cool and produces virtually no noise.",,,,2,,,2,1,,,,,,,324.95,434.95,434.95,,,,,3,316.95,,,,,,,,,"ATIFIXTURES",0,,,"N/A to Child","N/A to Child"
"ATI3011","base","default",,"ATI","ATI","simple",,,"Taxable Goods","Default",,,,"/ATI/SunPower_6-Bulb_Kit.jpg,ATI/SunPower_6-Bulb_Underside.jpg","ATI 48"" 6x54W SunPower High-Output T5 Fixture","48"" 6x54W","/ATI/SunPower_6-Bulb_Kit.jpg","/ATI/SunPower_6-Bulb_Kit.jpg","ATI/SunPower_6-Bulb_Kit","Block after Info Column","Enabled","Yes","Catalog, Search",24,47,13.4,2.1,52,18,8,"60-160 gallons","1 Year Manufacturer's","A favorite among hobbyists who want top-of-the-line performance at a lower cost. ","ATI 48&quot; 6x54W SunPower T5 High-Output Fixture complete with individual parabolic-style reflectors for each bulb made from silver-coated 98% reflective German-made aluminum, active cooling system w/ 2 fans, built-in electronic ballasts, acrylic shield, two 10 ft power-cords and a sleek, adjustable &quot;Grip-Lock&quot; style hanging kit. (Bulbs sold separately.)<br /><br />Common Sizing Guideline: soft coral tanks up to 160 gallons, mixed reef tanks up to 130 gallons and SPS dominated tanks up to 110 gallons. Recommended Tank Depth: up to 30&quot; with carefully planned placement of corals. Power Consumption: approximately 324 Watts. Warranty: 1-Year Manufacturer's Limited Warranty.<br /><br /><strong>1. Unbeatable Performance:</strong> Superior design and high-end components produce 50% more light than most other equally sized T5 fixtures. Active cooling system allows bulbs to run at a more optimal temperature improving both bulb output and bulb life.<br /><strong>2. Energy Efficient:</strong> Produces up to 50% more light than most other equally sized T5 fixtures without using more energy.<br /><strong>3. Contemporary Design:</strong> Slim, silver colored body is lightweight, durable, rust-proof and just 2.1&quot; high. All components including the T5 ballasts are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, 2 power-cords and an AC-DC Adapter to power the fans.<br /><strong>4. Independent Lamp Control:</strong> Fixture is wired with 2 bulbs on one power-cord and the other bulbs on the other allowing for independent control and dawn-dusk simulation.<br /><strong>5. Quiet, Cool Operation:</strong> Runs cool and produces virtually no noise.",,,,3,,,2,1,,,,,,,389.95,519.95,519.95,,,,,3,380.95,,,,,,,,,"ATIFIXTURES",0,,,"N/A to Child","N/A to Child"
"ATI3012","base","default",,"ATI","ATI","simple",,,"Taxable Goods","Default",,,,"/ATI/SunPower_6-Bulb_Kit.jpg,ATI/SunPower_6-Bulb_Underside.jpg","ATI 48"" 8x54W SunPower High-Output T5 Fixture","48"" 8x54W","/ATI/SunPower_6-Bulb_Kit.jpg","/ATI/SunPower_6-Bulb_Kit.jpg","ATI/SunPower_6-Bulb_Kit","Block after Info Column","Enabled","Yes","Catalog, Search",31,47,17.5,2.1,52,22,8,"90-220 gallons","1 Year Manufacturer's","A favorite among hobbyists who want top-of-the-line performance at a lower cost. ","ATI 48&quot; 8x54W SunPower T5 High-Output Fixture complete with individual parabolic-style reflectors for each bulb made from silver-coated 98% reflective German-made aluminum, active cooling system w/ 2 fans, built-in electronic ballasts, acrylic shield, two 10 ft power-cords and a sleek, adjustable &quot;Grip-Lock&quot; style hanging kit. (Bulbs sold separately.)<br /><br />Common Sizing Guideline: soft coral tanks up to 215 gallons, mixed reef tanks up to 175 gallons and SPS dominated tanks up to 145 gallons. Recommended Tank Depth: up to 30&quot; with carefully planned placement of corals. Power Consumption: approximately 432 Watts. Warranty: 1-Year Manufacturer's Limited Warranty.<br /><br /><strong>1. Unbeatable Performance:</strong> Superior design and high-end components produce 50% more light than most other equally sized T5 fixtures. Active cooling system allows bulbs to run at a more optimal temperature improving both bulb output and bulb life.<br /><strong>2. Energy Efficient:</strong> Produces up to 50% more light than most other equally sized T5 fixtures without using more energy.<br /><strong>3. Contemporary Design:</strong> Slim, silver colored body is lightweight, durable, rust-proof and just 2.1&quot; high. All components including the T5 ballasts are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, 2 power-cords and an AC-DC Adapter to power the fans.<br /><strong>4. Independent Lamp Control:</strong> Fixture is wired with 2 bulbs on one power-cord and the other bulbs on the other allowing for independent control and dawn-dusk simulation.<br /><strong>5. Quiet, Cool Operation:</strong> Runs cool and produces virtually no noise.",,,,4,,,2,1,,,,,,,462.95,617.95,617.95,,,,,3,451.95,,,,,,,,,"ATIFIXTURES",0,,,"N/A to Child","N/A to Child"
