"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","gallery","url_key","url_path","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","price","special_price","weight","minimal_price","msrp","manufacturer","status","is_recurring","visibility","enable_googlecheckout","tax_class_id","brand","inchoo_bestselling_product","new_product","featured_product","description","short_description","meta_keyword","custom_layout_update","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","price_type","sku_type","weight_type","price_view","shipment_type","recurring_profile"
"admin","base","Default","simple","2,3","shoes_1","0","sports shoes",,,,,,,"sports-shoes","sports-shoes.html",,"No layout updates","Block after Info Column",,,," ","Use config","Use config","No","100.0000",,"200.0000",,,,"Enabled","No","Catalog, Search","Yes","None","Adidas","Yes","Yes","No","sports shoes","sports",,,,,"2012-11-01 00:00:00","2012-11-30 00:00:00",,,"19.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1",,"0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","sports shoes","0","simple",,,,,,,,
"admin","base","Default","simple","3","RealFlex","0","RealFlex Transition 2.0",,,,,,,"realflex-transition-2-0","realflex-transition-2-0.html",,"No layout updates","Block after Info Column",,,," ","Use config","Use config","No","50.0000","45.0000","200.0000",,,,"Enabled","No","Catalog, Search","Yes","None","Adidas","No","Yes","Yes","RealFlex Transition 2.0","RealFlex Transition 2.0",,,"2012-10-16 00:00:00","2012-11-30 00:00:00","2012-11-01 00:00:00","2012-11-30 00:00:00",,,"19.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1",,"0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","RealFlex Transition 2.0","0","simple",,,,,,,,
"admin","base","Default","simple","3","RealFlex1_2","0","RealFlex Transition 1.2.0",,,,,,,"realflex-transition-1-2-0","realflex-transition-1-2-0.html",,"No layout updates","Block after Info Column",,,," ","Use config","Use config","No","40.0000","35.0000","200.0000",,,,"Enabled","No","Catalog, Search","Yes","None","Adidas","No","No","Yes","RealFlex Transition 1.2.0","RealFlex Transition 1.2.0",,,"2012-11-01 00:00:00","2012-11-30 00:00:00","2012-11-01 00:00:00","2012-11-30 00:00:00",,,"19.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1",,"0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","RealFlex Transition 1.2.0","0","simple",,,,,,,,
"admin","base","Default","simple","3","youth_special_1.1","0","youth_special_1.1",,,,,,,"youth-special-1-1","youth-special-1-1.html",,"No layout updates","Block after Info Column",,,," ","Use config","Use config","No","55.0000",,"120.0000",,,,"Enabled","No","Catalog, Search","Yes","None","Adidas","No","No","No","youth_special_1.1","youth_special_1.1",,,,,"2012-11-01 00:00:00","2012-11-30 00:00:00",,,"19.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1",,"0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","youth_special_1.1","0","simple",,,,,,,,
"admin","base","Default","simple","2,3","shoes_2","0","imported shoes",,,,,,,"imported-shoes","imported-shoes.html",,"No layout updates","Block after Info Column",,,," ","Use config","Use config","No","40.0000",,"100.0000",,,,"Enabled","No","Catalog, Search","Yes","None","Reebok","No","Yes","No","sports shoes","Imported Product from csv file",,,,,"2012-11-01 00:00:00","2012-11-30 00:00:00",,,"19.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1",,"0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","imported shoes","0","simple",,,,,,,,
"admin","base","Default","bundle","3","123","1","shoes bundle",,,,,,,"shoes-bundle","shoes-bundle.html",,"No layout updates","Block after Info Column",,,," ","No",,"No",,,,,,,"Enabled",,"Catalog, Search","Yes",,"Adidas","No","Yes","No","asdf","asdfafsaf",,,,,,,,,"0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1",,,"1","0","1","0","1","0.0000","1","0","0","0","1","shoes bundle","0","bundle",,,"0","0","0","Price Range","0",
"admin","base","Default","simple","2,3","csv_product_1","0","Csv import product",,,,,,,"csv-import-1","csv-import-1.html",,"No layout updates","Block after Info Column",,,," ","Use config","Use config","No","1000.0000","500.0000","1000.0000",,,,"Enabled",,"Catalog, Search","Yes","None","Adidas","Yes","Yes","Yes","Csv import product","This is the product importted from csv file",,,"2012-10-16 00:00:00","2012-11-30 00:00:00","2012-11-01 00:00:00","2012-11-30 00:00:00",,,"19.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1",,"0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","Csv import product","0","simple",,,,,,,,
"admin","base","Default","simple","2,3","csv_product_2","0","Csv import product 2",,,,,,,"csv-import-2","csv-import-2.html",,"No layout updates","Block after Info Column",,,," ","Use config","Use config","No","1000.0000","950.0000","1000.0000",,,,"Enabled",,"Catalog, Search","Yes","None","Adidas","Yes","Yes","Yes","Csv import product 2","This is the product importted from csv file 2",,,"2012-10-16 00:00:00","2012-11-30 00:00:00","2012-11-01 00:00:00","2012-11-30 00:00:00",,,"19.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1",,"0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","Csv import product 2","0","simple",,,,,,,,
"admin","base","Default","simple","2,3","teddy","0","teddy",,,,,,,"teddy","teddy.html",,"No layout updates","Block after Info Column",,,," ","Use config","Use config","No","100.0000",,"200.0000",,,,"Enabled","No","Catalog, Search","Yes","None","Adidas","Yes","Yes","No","teddy","teddy",,,,,"2012-11-01 00:00:00","2012-11-30 00:00:00",,,"19.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1",,"0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","teddy","0","simple",,,,,,,,
"admin","base","Default","simple","3","piggy","0","piggy",,,,,,,"piggy","piggy.html",,"No layout updates","Block after Info Column",,,," ","Use config","Use config","No","1000.0000",,"200.0000",,,,"Enabled",,"Catalog, Search","Yes","None","Adidas","Yes","Yes","No","piggy","piggy",,,,,"2012-11-01 00:00:00","2012-11-30 00:00:00",,,"1000.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1",,"0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","piggy","0","simple",,,,,,,,
